Date,Season,ID,Quantity,Fat,SMF,Rate,Total Amount
2024-04-01,morning,001-karthik,1.0,10.0,10.0,10.0,10.0
2024-04-02,morning,001-karthik,5.0,5.0,5.0,5.0,25.0
2024-04-02,morning,002-ragunathan,5.0,5.0,8.0,10.0,50.0
2024-04-01,morning,003-shri,10.0,10.0,10.0,10.0,100.0
2024-04-02,morning,004-nath,10.0,10.0,10.0,10.0,100.0
2024-04-03,evening,001-karthik,40.0,10.0,10.0,10.0,400.0
2024-04-04,evening,001-karthik,10.0,10.0,10.0,10.0,100.0
2024-04-05,morning,001-karthik,10.0,10.0,10.0,10.0,100.0
2024-04-06,morning,001-karthik,5.0,5.0,5.0,5.0,25.0
2024-04-07,morning,001-karthik,10.0,10.0,10.0,10.0,100.0
2024-01-01,morning,001-karthik,4.0,8.0,1.0,5.0,20.0
